"quarter","latest_vintage_date","gdp_growth_latest","recession_latest","ciss_latest","esi_latest","ciss_last_date_latest","esi_last_release_date_latest","esi_months_available_latest","prob_recession_latest","lower_95_latest","upper_95_latest"
"2022-Q2",2026-05-13,0.922864618445729,0,0.38421936859953,104.9,2022-06-30,2022-06-29,3,0.0368345626371767,0.0035897016447647,0.12692907050717
"2022-Q3",2026-05-13,0.454268552554571,0,0.422048667080799,97.8,2022-09-30,2022-09-29,3,0.105994051126373,0.0209664720114975,0.272021702494247
"2022-Q4",2026-05-13,-0.0576158086793566,0,0.483664635923476,95.5666666666667,2022-12-30,2022-12-29,3,0.163193255948174,0.0314944342750196,0.404908624587065
"2023-Q1",2026-05-13,-0.0250432069406226,1,0.188023906861624,98.7666666666667,2023-03-31,2023-03-29,3,0.0562423447699627,0.0175206341108813,0.116004270887502
"2023-Q2",2026-05-13,0.180847468530021,0,0.150025812731127,97.1666666666667,2023-06-30,2023-06-29,3,0.0676042579756237,0.023855844331737,0.13327998547861
"2023-Q3",2026-05-13,-0.00486866422798604,0,0.0818075751277615,94.4,2023-09-29,2023-09-29,3,0.0955209380572229,0.0324027353834445,0.203926903597033
"2023-Q4",2026-05-13,0.0750202768410535,0,0.105468745064583,94.8333333333333,2023-12-29,2023-12-29,3,0.0917560440343775,0.0341858493471548,0.187699736028013
"2024-Q1",2026-05-13,0.289910613006295,0,0.0418351657339184,95.6666666666667,2024-03-29,2024-03-29,3,0.0745500274061675,0.0216627470141155,0.170876234376007
"2024-Q2",2026-05-13,0.199901842907457,0,0.0291323029062761,96.3,2024-06-28,2024-06-29,3,0.0663833499142501,0.0181207368405736,0.155745775007386
"2024-Q3",2026-05-13,0.443435603555242,0,0.0863539680323694,96.3333333333333,2024-09-30,2024-09-29,3,0.070527761436369,0.0237270027058946,0.149216466148079
"2024-Q4",2026-05-13,0.384423820033275,0,0.0418226797089082,95.3666666666667,2024-12-31,2024-12-29,3,0.0782541227680861,0.0230435461888645,0.179851214469287
"2025-Q1",2026-05-13,0.593240058787381,0,0.0180870663135409,95.7333333333333,2025-03-31,2025-03-29,3,0.0719802704916581,0.0192473412476197,0.170690483146578
"2025-Q2",2026-05-13,0.143856291994804,0,0.0714056076021962,95.0333333333333,2025-06-30,2025-06-29,3,0.0853005364802446,0.0279177872116636,0.187873201592883
"2025-Q3",2026-05-13,0.299281375581506,0,0.0266932433822059,95.8666666666667,2025-09-30,2025-09-29,3,0.0710442328398293,0.0195848103407309,0.168278253620606
"2025-Q4",2026-05-13,0.199426928422852,0,0.0335761303459994,97.0666666666667,2025-12-31,2025-12-29,3,0.0588991417287554,0.0165991363980544,0.138683230759712
"2026-Q1",2026-05-13,0.145795873349397,0,0.0359603195188705,97.8,2026-03-31,2026-03-29,3,0.05245024840076,0.0145862415411942,0.124299566907587
